Uuid,Same as mappings,Void/Retire,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:fr,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1250
fe2da37c-0c99-484c-85e3-cfaa23c9fb2a,,,Dr. Charles Furaha,Dr. Charles Furaha,Dr. Charles Furaha,Dr. Charles Furaha,,,Misc,N/A,,,,,,,,,,,
f96508c6-f0a2-440e-883e-4540286d3057,,,Other:,Other:,Other:,Other:,,,Misc,N/A,,,,,,,,,,,
3fdec4f4-957c-4162-b2f5-915a364527f1,,,Author,Author,Author,Author,,,Misc,Coded,,fe2da37c-0c99-484c-85e3-cfaa23c9fb2a; f96508c6-f0a2-440e-883e-4540286d3057,,,,,,,,,
c3659bf9-3f10-11e4-adec-0800271c1b75,,,Comments,Comments,Comments,Comments,,,Misc,Text,,,,,,,,,,,
32c0f853-807c-436b-a496-dad285f5b755,,,HPI,HPI,HPI,HPI,,,Misc,Text,,,,,,,,,,,
9d014cb6-8ead-4309-9223-402d0c4a1b3c,,,PMH,PMH,PMH,PMH,,,Misc,Text,,,,,,,,,,,
b425bbea-72e9-427b-870e-0e1054025665,,,Exam -,Exam -,Exam -,Exam -,,,Misc,Text,,,,,,,,,,,
37c9ea0c-b666-4529-b7d7-97d52e881fb1,,,X-Ray,X-Ray,X-Ray,X-Ray,,,Misc,Text,,,,,,,,,,,
8205710d-3f10-11e4-adec-0800271c1b75,,,Lab Notes,Lab Notes,Lab Notes,Lab Notes,,,Misc,Text,,,,,,,,,,,
bbad3db9-3f10-11e4-adec-0800271c1b75,,,Impression,Impression,Impression,Impression,,,Misc,Text,,,,,,,,,,,
6b37152e-f19b-4c2d-bc75-2888d470b8e8,,,Burn -History,Burn -History,Burn -History,Burn -History,,,ConvSet,N/A,,,3fdec4f4-957c-4162-b2f5-915a364527f1; c3659bf9-3f10-11e4-adec-0800271c1b75; 32c0f853-807c-436b-a496-dad285f5b755; 9d014cb6-8ead-4309-9223-402d0c4a1b3c; b425bbea-72e9-427b-870e-0e1054025665; 37c9ea0c-b666-4529-b7d7-97d52e881fb1; 8205710d-3f10-11e4-adec-0800271c1b75; bbad3db9-3f10-11e4-adec-0800271c1b75,,,,,,,,
